"기준일ID","시군구코드","시군구명","총생활인구수","내국인생활인구수","장기체류외국인인구수","단기체류외국인인구수","일최대인구수","일최소인구수","주간인구수(09~18)","야간인구수(19~08)","일최대이동인구수","서울외유입인구수","동일자치구행정동간이동인구수","자치구간이동인구수"
"20190813","11305","강북구","296498.67010","291017.48340","4875.18740","605.99930","330691.19820","260340.46590","267528.05570","317191.96610","164059.89120","11270.25920","110983.56920","41806.06280"
"20190813","11320","도봉구","274277.99250","271036.07730","2900.65180","341.26340","303218.53230","241205.35890","248652.71940","292581.75900","129695.35740","17510.09870","76113.96540","36071.29330"
"20190813","11350","노원구","506358.89820","500314.41310","5069.48390","975.00120","547842.59900","458937.93380","467683.18730","533984.40590","209904.69810","34244.30130","121552.26770","54108.12910"
"20190813","11380","은평구","434411.23480","426102.67920","7114.27980","1194.27590","490054.37930","374433.62700","385852.75560","469095.86290","169386.31290","29658.14940","106640.90210","33087.26140"
"20190813","11410","서대문구","405015.23230","371360.64740","23667.64860","9986.93640","423076.17820","391526.72250","417363.06200","396195.35390","221058.03310","49003.78360","64627.14840","107427.10110"
"20190813","11440","마포구","514310.15890","477084.02250","22796.66250","14429.47390","559474.23490","468223.15320","545436.31250","492077.19210","300461.71780","77322.26560","82755.17500","140384.27720"
"20190813","11470","양천구","397602.61430","389998.33100","6575.13800","1029.14530","427178.49730","362766.52810","370478.40080","416977.05250","183026.26670","30679.01120","90492.07180","61855.18370"
"20190813","11500","강서구","541408.21520","523571.14020","10702.08710","7134.98780","573876.04720","506239.07770","514700.77590","560484.95750","245711.73110","64383.21680","117887.60000","63440.91430"
"20190813","11530","구로구","428531.66710","396638.78430","27798.41420","4094.46860","438459.10800","415732.04100","423822.28890","431895.50870","216817.10560","70121.34800","71349.48940","75346.26820"
"20190813","11545","금천구","247611.38400","229074.87180","16903.90170","1632.61050","272759.65140","224431.45220","269920.94570","231675.98270","162048.80860","60381.59740","46370.25940","55296.95180"
"20190813","11560","영등포구","538934.46870","493536.13900","39126.21780","6272.11190","620606.05800","461182.14720","605181.83140","491614.92400","369051.16860","102314.15410","84748.13040","181988.88410"
"20190813","11590","동작구","403419.83770","387878.26900","13813.86190","1727.70670","437471.23450","362646.09170","370958.01810","426606.85170","169925.96130","32827.18300","67664.54500","69434.23330"
"20190813","11620","관악구","493079.88430","469820.29160","21435.14950","1824.44310","555701.72140","422556.93290","435786.42860","534003.78120","206840.32780","34024.50450","113625.92380","59189.89950"
"20190813","11650","서초구","657164.31760","632817.49370","18659.55620","5687.26780","795095.08500","520919.69960","768818.34430","577411.44140","468725.95840","158217.10600","84390.43450","226118.41790"
"20190813","11680","강남구","922027.25050","878708.92680","26289.83990","17028.48380","1174025.23110","693609.33570","1125949.69160","776368.36400","693892.96590","218946.76790","123785.42680","351160.77120"
"20190813","11710","송파구","798983.05190","774223.75120","18747.94430","6011.35640","818663.43220","785960.64980","804901.10970","794755.86780","409504.12670","116657.86270","164610.69520","128235.56880"
"20190813","11740","강동구","483503.11780","472569.53040","10021.80460","911.78280","517604.07940","442323.96960","451938.56910","506049.22410","227218.20730","49602.46380","130204.98500","47410.75850"
"20190812","11000","서울시","11251184.25250","10681516.23630","413432.39560","156235.62060","11645963.12610","10882344.19750","11567534.01470","11025220.13670","6114521.75160","1479687.17630","2123360.24730","2511474.32800"
"20190812","11110","종로구","332714.42170","304669.86660","15858.90840","12185.64670","454192.68440","236112.30010","424018.78750","267497.01760","280920.69980","74357.63070","33475.28620","173087.78290"
"20190812","11140","중구","374882.24430","308116.70740","24211.44930","42554.08760","541049.01690","225802.34920","507141.00320","280411.70220","349763.80970","93034.30920","32368.85380","224360.64670"
"20190812","11170","용산구","317272.38080","286361.06750","21991.42200","8919.89130","349810.33610","283491.24720","345641.71310","297008.57210","190541.37960","53115.43200","43096.93550","94329.01210"
"20190812","11200","성동구","355962.59220","340286.02290","14062.79640","1613.77290","370137.53430","340442.90680","365564.65440","349103.97630","197329.04130","37831.41010","64250.61810","95247.01310"
"20190812","11215","광진구","389003.32140","364516.31340","22524.04250","1962.96550","413828.31250","357330.72790","365160.05090","406034.22890","171944.88560","33161.30080","77470.00980","61313.57500"
"20190812","11230","동대문구","375767.46180","353502.69530","18951.03040","3313.73600","383793.35940","366849.96630","372077.14800","378403.40020","184775.92860","32601.21800","72050.27730","80124.43330"
"20190812","11260","중랑구","359466.52440","353207.58620","5787.63980","471.29850","397495.17860","317752.13700","326630.63960","382920.72790","149318.86510","24985.91460","88631.75090","35701.19960"
"20190812","11290","성북구","430633.70770","416192.74590","12347.56230","2093.39950","467226.37270","393326.37580","400880.76470","451885.80980","172801.32020","21340.82690","85212.48890","66248.00440"
"20190812","11305","강북구","300957.73190","295502.62840","4892.64280","562.46070","335833.76720","265600.13950","272789.70280","321077.75270","163225.50520","10648.29520","111549.28840","41027.92160"
"20190812","11320","도봉구","275666.26580","272373.62110","2865.26150","427.38310","304315.55850","242807.49020","250128.75880","293907.34220","125809.80480","16349.48320","75519.06430","33941.25730"
"20190812","11350","노원구","509822.42720","503900.37190","5079.11420","842.94110","553109.85920","463417.66320","471859.77560","536938.60700","203802.21900","32440.84090","119440.56610","51920.81200"
"20190812","11380","은평구","435521.95590","427100.43170","6869.40930","1552.11490","489249.64530","377732.64380","388732.60050","468942.92400","166278.75110","27545.73790","106949.52460","31783.48860"
"20190812","11410","서대문구","402574.94060","369535.55300","23458.14310","9581.24450","419574.15520","388190.53510","414298.81270","394200.74620","214619.34620","45847.51120","64998.39650","103773.43850"
"20190812","11440","마포구","504179.93610","466618.81270","22075.09390","15486.02950","541683.80410","465309.06910","531510.70230","484657.96020","287041.33890","71810.20940","82571.69190","132659.43760"
"20190812","11470","양천구","399471.34410","392146.33740","6327.39450","997.61220","429272.86460","365686.20480","372537.99240","418709.45240","180187.04760","28840.08360","90381.30920","60965.65480"
"20190812","11500","강서구","545893.38110","528086.42800","10253.01300","7553.94010","575996.88840","516179.79450","521014.84880","563663.76130","242317.26860","62649.76740","117587.51820","62079.98300"
"20190812","11530","구로구","435628.83530","401047.41800","30433.26590","4148.15140","444603.97840","428323.36560","435275.55780","435881.17630","219264.90490","70814.12540","71753.40620","76697.37330"
"20190812","11545","금천구","248233.54890","229040.68390","17696.49900","1496.36610","276464.17790","223012.81740","272981.56770","230556.39270","160861.79930","59365.97060","45943.74690","55552.08180"
"20190812","11560","영등포구","534956.69610","487656.35740","40799.68320","6500.65550","620328.70960","454872.19540","603712.44070","485845.45000","361787.36490","99248.45670","84024.27690","178514.63130"
"20190812","11590","동작구","405507.83670","389721.58190","13863.01550","1923.23930","439294.80150","366304.93990","374334.06170","427774.81890","167370.23790","31929.35560","66817.65640","68623.22590"
"20190812","11620","관악구","496961.88260","472941.22080","22222.28200","1798.37980","558855.85350","427847.74070","440495.40930","537295.07770","204646.93390","33740.61210","113676.77300","57229.54880"
"20190812","11650","서초구","641249.36260","618076.01810","17719.82300","5453.52160","777738.42950","510506.90790","752438.35800","561828.65160","453347.60020","151693.94250","82937.98460","218715.67310"
"20190812","11680","강남구","897325.91080","855989.21590","24463.69650","16872.99840","1153832.85540","665996.65190","1103829.14750","749823.59880","676500.44370","212249.34480","122811.87000","341439.22890"
"20190812","11710","송파구","794826.10440","769296.70560","18681.61910","6847.77970","807522.78880","786424.82140","797901.97340","792629.05510","395410.97890","109939.37120","164021.61500","121449.99270"
"20190812","11740","강동구","486703.43830","475629.84530","9997.58800","1076.00490","520531.44340","449897.49070","456577.54360","508221.93450","224225.72170","48361.20510","128605.19460","47259.32200"
"20190811","11000","서울시","10836158.33000","10259484.39470","415382.99030","161290.94500","10989744.84630","10668057.39340","10876804.33580","10807125.46880","4737183.20370","1064642.07570","2068085.37790","1604455.75010"
"20190811","11110","종로구","271544.58590","242988.48990","15546.33590","13009.76000","334520.42480","232661.51150","310250.68000","243897.37580","171982.05520","47383.04350","30923.11860","93675.89310"
"20190811","11140","중구","275037.84210","209030.90120","21519.85320","44487.08760","337735.72220","229375.31420","317179.07230","244936.96330","172056.72260","45941.11040","29479.72890","96635.88330"
"20190811","11170","용산구","314461.35220","280957.68230","23893.13160","9610.53830","341815.47690","288363.83330","332611.35930","301497.06140","158686.23170","44965.04420","42703.39250","71017.79500"
